Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [DiseaseState]	Term Source REF	Term Accession Number	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4707GSM106285_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	late onset preeclampsia	  	  	GSE4707GSM106285_Cy5 sample	GSE4707GSM106285_Cy5 extract	total_RNA	GSE4707GSM106285_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(LO)5	A-AGIL-11	late onset preeclampsia	  	  	Placenta_PE(LO)5	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106285_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106285_Cy3 sample	GSE4707GSM106285_Cy3 extract	total_RNA	GSE4707GSM106285_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(LO)5	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(LO)5	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106282_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106282_Cy3 sample	GSE4707GSM106282_Cy3 extract	total_RNA	GSE4707GSM106282_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(LO)2	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(LO)2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106282_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	late onset preeclampsia	  	  	GSE4707GSM106282_Cy5 sample	GSE4707GSM106282_Cy5 extract	total_RNA	GSE4707GSM106282_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(LO)2	A-AGIL-11	late onset preeclampsia	  	  	Placenta_PE(LO)2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106283_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106283_Cy3 sample	GSE4707GSM106283_Cy3 extract	total_RNA	GSE4707GSM106283_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(LO)3	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(LO)3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106283_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	late onset preeclampsia	  	  	GSE4707GSM106283_Cy5 sample	GSE4707GSM106283_Cy5 extract	total_RNA	GSE4707GSM106283_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(LO)3	A-AGIL-11	late onset preeclampsia	  	  	Placenta_PE(LO)3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106284_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106284_Cy3 sample	GSE4707GSM106284_Cy3 extract	total_RNA	GSE4707GSM106284_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(LO)4	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(LO)4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106284_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	late onset preeclampsia	  	  	GSE4707GSM106284_Cy5 sample	GSE4707GSM106284_Cy5 extract	total_RNA	GSE4707GSM106284_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(LO)4	A-AGIL-11	late onset preeclampsia	  	  	Placenta_PE(LO)4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106274_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106274_Cy5 sample	GSE4707GSM106274_Cy5 extract	total_RNA	GSE4707GSM106274_Cy5 LE	Cy5	synthetic_RNA	Placenta_nl3	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106274_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106274_Cy3 sample	GSE4707GSM106274_Cy3 extract	total_RNA	GSE4707GSM106274_Cy3 LE	Cy3	synthetic_RNA	Placenta_nl3	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
